City,RMSE,MAE,Records
Ahmedabad,510.4172022452029,319.98790110194403,1334
Amritsar,51.07238762006049,42.07314072253522,1126
Bengaluru,33.3235973917925,27.336630416314755,1910
Chennai,43.467147141539506,35.65165492712089,1884
Delhi,98.77098260350473,77.25389794878478,1999
Gurugram,88.83767032794587,75.8549827892775,1453
Hyderabad,37.15886358055061,31.416127021719554,1880
Lucknow,69.17366698992866,53.305592717857486,1893
Patna,44.38229558320227,34.73730766316968,1459
Visakhapatnam,53.89606225959023,42.77979474138783,1171
